struct,subject,feature,family,cov,n_raters
ut,D1-024,shape_aspect_zx,shape,0.075192662274751,2
ut,D1-024,shape_elong_21,shape,0.11986487766580206,2
ut,D1-024,shape_elong_31,shape,0.10210349634273941,2
ut,D1-024,shape_flatness,shape,0.017981449506333017,2
ut,D1-024,shape_sa_vol_norm,shape,0.11471009081635794,2
ut,D1-024,shape_sphericity,shape,0.11471009081635793,2
ut,D1-024,size_area_mm2,size,0.2414428800509552,2
ut,D1-024,size_bbox_diag,size,0.09065907837379499,2
ut,D1-024,size_bbox_x,size,0.09184636379881475,2
ut,D1-024,size_bbox_y,size,0.03302924157357359,2
ut,D1-024,size_bbox_z,size,0.16589333804546333,2
ut,D1-024,size_centroid,size,0.05535350234740516,2
ut,D1-024,size_volume_mm3,size,0.194137125048695,2
ut,D1-025,shape_aniso,shape,0.0473567123669517,2
ut,D1-025,shape_aspect_yx,shape,0.010692980857494247,2
ut,D1-025,shape_aspect_zx,shape,0.11278771375977359,2
ut,D1-025,shape_elong_21,shape,0.21600122913457018,2
ut,D1-025,shape_elong_31,shape,0.05733108106026754,2
ut,D1-025,shape_flatness,shape,0.16065969084757326,2
ut,D1-025,shape_sa_vol_norm,shape,0.06647812541889829,2
ut,D1-025,shape_sphericity,shape,0.0664781254188984,2
ut,D1-025,size_area_mm2,size,0.1922833993074881,2
ut,D1-025,size_bbox_diag,size,0.11035084138578947,2
ut,D1-025,size_bbox_x,size,0.14124857190919543,2
ut,D1-025,size_bbox_y,size,0.1307530763501541,2
ut,D1-025,size_bbox_z,size,0.028921611332879568,2
ut,D1-025,size_centroid,size,0.06614707061450342,2
ut,D1-025,size_volume_mm3,size,0.18986417662948066,2
ut,D1-027,shape_aniso,shape,0.01640073885320739,2
ut,D1-027,shape_aspect_yx,shape,0.00781176150595597,2
ut,D1-027,shape_aspect_zx,shape,0.17753035165775388,2
ut,D1-027,shape_elong_21,shape,0.07012409803713009,2
ut,D1-027,shape_elong_31,shape,0.030676996466966523,2
ut,D1-027,shape_flatness,shape,0.10058471699205482,2
ut,D1-027,shape_sa_vol_norm,shape,0.18918113937324935,2
ut,D1-027,shape_sphericity,shape,0.18918113937324926,2
ut,D1-027,size_area_mm2,size,0.8826489101763814,2
ut,D1-027,size_bbox_diag,size,0.5770842332065325,2
ut,D1-027,size_bbox_x,size,0.5538519331337342,2
ut,D1-027,size_bbox_y,size,0.5484129125662118,2
ut,D1-027,size_bbox_z,size,0.6659066604961298,2
ut,D1-027,size_centroid,size,0.521932228084666,2
ut,D1-027,size_volume_mm3,size,0.9462038413461064,2
ut,D1-028,shape_aniso,shape,0.11801438102650555,2
ut,D1-028,shape_aspect_yx,shape,0.10495338518118792,2
ut,D1-028,shape_aspect_zx,shape,0.2027798586607795,2
ut,D1-028,shape_elong_21,shape,0.1665006952933334,2
ut,D1-028,shape_elong_31,shape,0.2385034363730413,2
ut,D1-028,shape_flatness,shape,0.07498028216390266,2
ut,D1-028,shape_sa_vol_norm,shape,0.12132556323664077,2
ut,D1-028,shape_sphericity,shape,0.12132556323664068,2
ut,D1-028,size_area_mm2,size,0.2434269484661069,2
ut,D1-028,size_bbox_diag,size,0.10766196896432545,2
ut,D1-028,size_bbox_x,size,0.04762528380237404,2
ut,D1-028,size_bbox_y,size,0.151819807580811,2
